AKBNK	AKBANK T.A.Ş.
GARAN	TÜRKİYE GARANTİ BANKASI A.Ş.
HALKB	TÜRKİYE HALK BANKASI A.Ş.
ISCTR	TÜRKİYE İŞ BANKASI A.Ş.
TSKB	TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.
TURSG	TÜRKİYE SİGORTA A.Ş.
SISE	TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.
VAKBN	TÜRKİYE VAKIFLAR BANKASI T.A.O.
TTKOM	TÜRK TELEKOMÜNİKASYON A.Ş.
ULKER	ÜLKER BİSKÜVİ SANAYİ A.Ş.
VESTL	VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.
YKBNK	YAPI VE KREDİ BANKASI A.Ş.
ZOREN	ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.
